Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini index,,Income per family member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value   (Dol.),Standard error (Dol.),Value   (Dol.),Standard error (Dol.),Ratio,Standard error,Value   (Dol.),Standard error
No related children,"48,310",819,301,547,668,875,"1,100","1,238","1,403","1,286","1,542","1,522","1,509","1,625","1,411","1,342","1,334","1,384","1,352","1,347","1,173","1,304","1,105","1,084","1,121","1,077",946,886,845,780,683,857,610,635,577,571,475,592,470,442,393,"9,080","101,200",699,"135,300","1,193",0.436,0.0032,"55,630",525
One child,"15,920",510,172,301,331,382,406,525,518,475,449,534,408,515,353,386,373,411,294,334,277,468,334,322,268,350,244,286,250,265,214,320,222,252,212,144,146,199,143,132,127,"3,063","100,000","1,900","133,600","1,864",0.472,0.0051,"40,390",553
Two children or more,"20,480",597,246,307,365,481,516,626,598,577,608,641,517,617,468,509,470,544,499,529,436,584,424,462,343,413,395,334,299,352,270,340,286,271,239,260,248,268,159,163,136,"4,088","100,600",880,"138,400","1,920",0.473,0.0045,"29,430",403
