Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini index,,Income per family member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value   (Dol.),Standard error (Dol.),Value   (Dol.),Standard error (Dol.),Ratio,Standard error,Value   (Dol.),Standard error
Two people,"40,510","1,076",375,687,815,"1,024","1,162","1,374","1,461","1,291","1,502","1,484","1,417","1,524","1,185","1,162","1,131","1,213","1,123","1,095",936,"1,067",879,859,858,824,650,629,602,575,513,603,423,470,410,364,333,407,298,302,242,"6,166","86,430",756,"120,400","1,368",0.463,0.0039,"59,010",683
Three people,"18,470",410,159,255,273,335,395,466,502,431,506,563,500,514,499,507,445,490,403,463,387,533,384,404,381,437,402,366,354,327,247,378,281,259,253,233,190,262,177,185,178,"3,732","107,100","1,464","137,800","1,672",0.432,0.0051,"43,440",534
Four people,"15,220",259,101,110,167,200,248,323,291,344,321,374,263,403,292,321,313,351,375,395,345,469,341,350,284,323,324,348,249,301,227,298,209,253,216,234,225,244,202,162,151,"4,009","125,700","1,490","164,400","2,201",0.435,0.0054,"39,240",514
Five people,"6,727",119,54,82,73,107,137,136,145,170,173,165,183,191,164,174,182,148,137,177,142,182,156,157,135,170,155,101,124,118,120,133,130,109,88,87,68,94,61,54,61,"1,566","115,400","2,162","152,800","3,201",0.443,0.0079,"29,240",620
Six people,"2,436",50,13,14,32,39,58,46,59,59,71,61,31,57,58,46,65,89,65,57,39,60,66,55,54,60,40,40,45,61,42,77,51,50,50,39,47,45,23,25,14,484,"118,000","3,666","144,700","3,541",0.414,0.0119,"22,930",590
Seven people or more,"1,351",14,17,8,6,33,21,42,59,42,25,49,40,69,35,26,40,48,42,24,38,45,37,43,20,28,14,20,20,15,18,29,24,17,10,18,7,7,10,9,9,274,"99,600","3,848","142,200","5,980",0.458,0.0129,"17,560",752
